"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-04-11","4.1"," 1312"," 1311","26.9",,,,"29.4","20.6","  110","   90","7.6","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-04-26","3.8"," 0928"," 0927","71.1",,,,"28.3","20.0","  270","  280","11.6","17.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-05-27","2.2"," 1601"," 1545","0.0",,,,"32.2","23.3","  130","  120","6.7","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-08-01","1.5"," 1341"," 1340","0.3",,,,"33.9","25.6","  220","  210","6.7","9.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-09-07","3.0"," 1304"," 1303","17.5",,,,"32.2","24.4","  120","  130","11.6","16.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2010-11-24","2.3"," 1801"," 1621","1.3",,,,"27.8","21.1","  100","   30","6.3","7.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-04-22","4.8"," 1525"," 1525","0.0",,,,"29.4","22.2","  110","   90","8.0","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-07-04","3.4"," 0428"," 0426","15.7",,,,"32.2","24.4","   90","   90","9.4","11.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-08-16","1.4"," 1142"," 1407","0.5",,,,"32.2","23.9","  190","  180","7.2","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2011-09-12","1.4"," 1738"," 1524","0.0",,,,"32.2","27.2","   80","  140","6.3","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2012-03-15","4.4",,,"58.4",,,,"25.6","19.4","   90","   90","9.8","12.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2012-07-02","2.2"," 9999",,"0.0",,,,"32.8","25.0","  120","  110","7.6","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2012-07-16","1.4"," 9999",,"26.7",,,,"30.6","22.8","  130","  250","6.7","9.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2012-07-21","4.8"," 9999",,"0.0",,,,"32.8","25.0","  100","  140","8.0","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2013-06-28","1.8",,,"0.8",,,"28.1","31.7","25.0","  120","  180","5.8","9.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2013-07-03","5.3",,,"0.5",,,"27.8","31.1","25.0","  140","  150","10.3","15.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2013-09-09","2.9",,,"1.0","0.0",,"28.3","32.2","25.6","   90","   80","8.1","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2013-10-09","1.9",,,"0.0",,,"26.9","31.1","22.2","  330","  290","5.4","7.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2013-12-03","1.7",,,"0.0",,,"21.4","26.7","16.1","  120","  110","6.3","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2014-06-09","1.7",,,"14.7",,,"25.9","32.2","22.2","  250","  260","9.4","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2014-10-01","2.9",,,"0.0",,,"29.2","33.9","25.6","  350","  340","8.9","11.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2014-10-20","2.3",,,"1.0",,,"25.7","29.4","21.1","  150","  170","5.8","9.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2015-01-29","3.2",,,"0.0",,,"16.7","22.8","11.7","   80","   90","8.1","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2015-02-11","2.6",,,"0.0",,,"17.2","22.8","12.2","  340","  360","6.3","8.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2015-03-13","7.2",,,"0.0",,,"25.5","28.9","23.3","  100","  100","10.7","13.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2015-04-09","5.5",,,"0.0",,,"25.8","29.4","23.3","  100","  130","8.1","11.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2015-09-13","3.3",,,"1.0",,,"29.4","33.3","25.6","  240","  260","8.1","11.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2016-04-03","3.3",,,"0.0",,,"25.4","27.2","21.7","  340","  340","6.7","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2018-02-03","3.9",," 1746","3.0","0.0","0.0","21.8","23.9","19.4","  100","  100","9.4","11.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2018-05-04","5.1",,,"13.2","0.0","0.0","25.6","28.3","21.7","   70","   90","9.8","14.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2018-06-11","1.8",,,"1.3","0.0","0.0","26.4","29.4","23.9","   80","   90","7.2","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2018-09-16","2.6",,,"0.0","0.0","0.0","28.7","32.2","25.6","  110","  110","6.7","8.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2019-05-29","5.1",,,"0.0","0.0","0.0","27.7","31.1","25.0","  110","  140","7.6","11.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2019-09-30","6.2",,,"0.3","0.0","0.0","28.7","31.7","26.7","   50","   50","9.8","14.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2019-10-02","5.2",,,"11.4","0.0","0.0","27.9","31.1","25.6","   80","   90","10.3","13.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","2019-11-16","4.1",,,"0.0","0.0","0.0","22.1","25.6","16.1","  270","  280","7.6","10.3"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2010-02-25","3.4"," 0340"," 0236","3.3","0.0","0.0",,"5.6","1.7","   90","  100","6.3","8.0"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2010-03-18","2.6"," 0729"," 0718","0.0","0.0","0.0",,"6.7","-1.1","  110","  110","7.2","9.4"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2010-03-26","4.6"," 1534"," 1523","4.8","0.0","0.0",,"5.0","-1.7","  120","  110","9.8","13.9"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2010-10-30","3.4"," 2108"," 2107","0.3","0.0","0.0",,"6.1","2.2","  120","  120","10.3","13.0"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2010-11-11","4.6"," 2314"," 2137","5.1","0.0","0.0",,"5.6","2.8","  110","  120","13.0","17.0"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2011-01-05","1.9"," 0130"," 0120","6.1","0.0","0.0",,"3.3","0.0","  120","  110","8.0","10.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2011-03-10","7.8"," 1301"," 1702","0.0","0.0","127.0",,"-3.3","-8.3","  100","   90","11.6","16.1"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2011-05-21","1.6"," 1548"," 1549","0.8","0.0","0.0",,"14.4","6.1","  110","  110","5.8","6.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2011-06-30","5.3"," 0829"," 1128","14.5","0.0","0.0",,"11.1","8.9","  110","  120","7.6","10.3"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2011-12-20","2.2"," 2355"," 2359","2.5","0.0","0.0",,"2.8","0.6","   80","   80","5.4","6.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2012-01-31","4.7"," 0612"," 0556","7.9","3.0","381.0",,"2.2","0.6","  110","  120","9.4","11.6"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2012-03-12","1.0"," 1458"," 1500","0.0","5.0","0.0",,"3.9","-3.3","  260","  250","6.3","6.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2012-03-21","2.2"," 1349"," 1145","0.0","0.0","0.0",,"2.2","-6.7","  120","  120","6.7","8.9"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2012-10-25","3.8"," 1411"," 1216","0.0","0.0","0.0",,"2.8","-5.6","   90","   80","9.4","12.5"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2013-01-07","3.0"," 1903"," 2200","5.6","18.0","25.0",,"1.7","0.0","  110","   70","6.3","7.2"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2013-07-04","2.1",," 1338","0.8","0.0","0.0","12.0","16.7","10.0","  250","  240","6.3","8.1"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2014-01-29","1.3",," 1208","0.5","0.0","0.0","2.8","3.9","1.7","  290","  260","3.1","3.6"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2014-03-25","7.8",," 1030","0.0","0.0","0.0","2.5","4.4","1.1","  100","   80","12.5","16.1"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2014-05-02","5.0",," 1025","0.0","0.0","0.0","15.7","19.4","11.7","   90","   70","10.7","15.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2015-01-26","0.8",," 0953","0.0","0.0","0.0","2.3","2.8","-3.2","  280","  280","5.4","5.8"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2015-04-16","4.7",," 1147","12.2","0.0","0.0","5.3","7.2","3.3","  130","  120","8.9","10.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2015-08-18","5.2",," 0712","26.7","0.0","0.0","14.8","18.3","13.9","  120","  110","9.8","13.9"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2016-02-24","5.2",," 1705","6.1","0.0","0.0","3.5","5.6","2.8","  120","  120","9.4","10.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2016-10-30","0.8",," 1158","0.0","0.0","0.0","3.3","7.2","-2.7","  230","  220","4.0","4.5"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2017-06-06","3.6",," 1340","0.3","0.0","0.0","11.8","17.8","9.4","  230","  230","8.1","11.6"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2017-06-28","1.7",," 1420","0.0","0.0","0.0","12.6","18.3","10.0","  240","  260","5.8","7.6"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2017-07-12","2.4",," 1611","5.1","0.0","0.0","11.6","16.7","8.9","   80","   80","6.7","8.1"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2017-12-21","0.2",," 1149","0.0","0.0","0.0","-1.6","1.1","-7.7","  250","  150","2.7","3.1"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2018-04-05","5.8",," 1307","0.0","0.0","0.0","0.6","7.8","-6.0","   90","   80","13.0","17.4"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2018-10-06","3.5",," 1709","7.9","0.0","0.0","7.7","9.4","7.2","   80","   80","6.3","7.6"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2018-11-21","2.6",," 0136","0.5","0.0","0.0","5.9","6.7","2.2","  110","  100","6.7","8.1"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2019-03-07","0.9",," 1257","0.0","0.0","100.0","-3.5","3.3","-9.3","  280","  240","4.5","5.4"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2019-04-05","1.6",," 2345","0.8","0.0","0.0","3.9","6.1","2.2","  120","  120","9.4","10.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2019-09-05","1.7",," 1150","0.0","0.0","0.0","12.1","18.3","7.8","  230","  240","5.8","6.7"
"USW00025309","JUNEAU AIRPORT, AK US","58.3566","-134.564","4.9","2019-10-20","1.1",," 1257","0.0","0.0","0.0","4.9","7.8","-2.1","  230","  240","4.5","5.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-25","7.7"," 2243"," 2247","32.5","0.0",,,"7.2","2.8","   70","   90","21.0","26.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-10-17","5.1"," 1610"," 1605","0.0","0.0",,,"18.9","7.8","  290","  290","11.2","16.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2011-03-03","5.8"," 0152"," 0152","0.0","0.0",,,"-1.7","-11.1","  320","  330","13.4","16.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2011-08-28","12.1"," 1215"," 1110","23.1","0.0",,,"24.4","19.4","  170","  150","20.6","28.2"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2011-10-14","5.1",,,"14.7","0.0",,,"19.4","15.0","  230","  230","10.7","13.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-14","7.7",,,"0.0","0.0",,,"1.1","-7.2","  270","  270","10.7","13.4"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-21","4.7",,,"4.6","74.0",,,"-5.0","-8.9","   10","   50","8.9","12.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-07","4.6",,,"0.0","0.0",,,"7.8","-1.1","  320","  330","7.6","10.7"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-22","4.2",,,"0.0","0.0",,,"13.9","2.2","  280","  280","8.0","11.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-05-28","4.1",,,"0.0","0.0",,,"20.6","15.6","  100","   70","6.7","8.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-08-02","3.7",,,"0.0","0.0",,,"30.0","20.0","  230","  230","6.3","7.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-08-22","3.3",,,"0.0","0.0",,,"25.6","18.9","  110","  250","6.7","7.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-09-12","3.0",,,"0.0","0.0",,,"22.8","11.7","  120","  120","7.2","8.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-12-04","3.2",,,"0.3","0.0",,,"13.9","3.9","  200","  200","9.8","14.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-12-10","3.6",,,"14.2","0.0",,,"15.6","5.6","  110","  120","9.4","11.2"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2013-01-27","6.2",,,"0.0","0.0",,,"0.0","-10.0","  330","  310","10.3","16.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2013-06-18","3.1",,,"16.0","0.0",,"18.2","21.7","15.0","   30","   30","10.3","11.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2013-08-06","3.2",,,"0.0","0.0",,"20.2","23.3","15.0","  120","  120","7.6","8.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2013-10-27","5.6",,,"0.8","0.0",,"10.2","13.9","6.7","  250","  250","10.3","15.7"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2014-04-03","4.2",,,"0.0","0.0",,"5.9","12.2","1.1","   90","  340","7.6","9.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2014-06-08","3.5",,,"0.0","0.0",,"23.1","27.2","19.4","  120","  110","6.7","7.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2014-06-13","4.3",,,"13.7","0.0",,"16.4","17.8","15.0","  110",,"8.1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2014-09-19","4.7",,,"0.0","0.0",,"12.4","13.3","7.8","   10","   50","7.2","8.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2014-10-13","3.4",,,"0.0","0.0",,"11.9","17.2","7.2","  210","  210","7.2","9.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-16","8.8",,,"0.0","0.0",,"-14.2","-7.1","-19.3","  290","  300","13.9","18.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-24","4.2",,,"0.0","0.0",,"-12.9","-7.1","-16.6","  190","  190","8.9","10.7"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-06-12","4.0",,,"0.0","0.0",,"23.2","26.1","18.3","  110","  220","8.1","10.7"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-08-16","3.0",,,"0.0","0.0",,"24.1","32.2","19.4","  100","   90","7.6","9.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2017-04-30","5.2",,,"0.3","0.0",,"12.8","17.8","7.2","  110","  330","8.9","12.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2017-05-01","4.1",,,"0.0","0.0",,"8.3","8.9","7.2","  340","  340","6.7","8.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2017-06-09","4.5",,,"0.0","0.0",,"17.5","26.1","12.8","  360","  360","9.8","13.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2017-06-14","4.7",,,"0.0","0.0",,"21.7","22.8","15.0","  100","  100","7.2","8.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2017-10-30","10.2",,,"23.9","0.0",,"15.2","18.3","10.6","  120","  110","20.6","25.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2018-05-10","4.4",,,"0.0","0.0",,"11.3","21.7","9.4","  220","  220","11.2","13.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2018-10-14","4.5",,,"0.0","0.0",,"10.7","15.0","7.2","  230","  270","7.6","10.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2018-11-27","7.6",,,"11.7","0.0",,"7.1","9.4","3.3","   60","   60","13.4","16.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-10-15","3.7",,,"0.0","0.0",,"14.4","17.8","9.4","  310","  310","7.6","9.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-12-21","2.3",,,"0.0","0.0",,"-2.5","1.7","-5.5","  220","  220","4.5","6.7"
